timestamp_ms,engine_rpm,throttle_pos_pct,engine_load_pct,vehicle_speed_kmh,current_gear,lean_angle_deg,longitudinal_accel_g,lateral_accel_g,road_incline_deg,tire_press_psi,tire_temp_c,suggested_shift_action,optimal_shift_rpm,rider_style_label,hazard_alert_flag
2300,3172.3,29.1,38.7,27.0,1,2.8,0.11,0.07,-0.0,29.7,22.3,0,4662.3,0,0
2400,5318.1,41.7,35.9,85.1,4,2.0,0.17,0.04,-0.3,30.0,26.2,0,6018.3,1,0
2500,3780.5,30.4,36.9,41.6,2,9.6,0.12,0.18,1.1,30.4,25.5,0,6091.3,1,0
2600,3138.0,27.5,32.7,58.1,5,11.0,0.12,0.23,-1.4,30.0,22.2,0,4530.7,0,0
2700,5443.4,52.0,60.8,100.7,5,3.0,0.28,0.03,4.2,30.0,26.3,0,6518.6,1,0
2800,5156.1,38.5,29.5,82.5,4,13.3,0.28,0.22,-3.2,30.0,26.0,0,5810.6,1,0
2900,3261.8,34.8,34.1,52.2,4,5.7,0.11,0.09,1.6,30.0,22.0,0,4681.2,0,0
3000,4945.8,33.2,39.6,42.0,1,5.2,0.1,0.12,2.1,30.4,25.8,0,6170.2,1,0
3100,4614.9,23.0,27.6,96.9,6,7.9,-0.02,0.12,-1.4,30.0,23.4,0,4468.0,0,0
3200,4040.9,38.0,30.5,74.8,5,7.4,0.13,0.1,-2.1,29.9,22.0,0,4472.9,0,0
3300,7334.0,91.2,85.1,135.7,5,21.3,0.38,0.32,3.0,30.5,30.3,0,8358.2,2,0
3400,6771.1,91.5,69.2,108.3,4,37.4,0.35,0.53,-2.0,30.3,29.9,0,7941.5,2,0
3500,6872.2,73.8,67.8,92.8,3,12.5,0.26,0.2,-1.0,30.4,29.6,0,7967.7,2,0
3600,3494.1,16.1,24.7,64.6,5,5.2,0.04,0.08,2.7,29.8,22.1,0,4618.6,0,0
3700,4480.0,16.5,22.8,49.3,2,5.3,0.04,0.05,0.6,29.6,21.8,0,4500.1,0,0
3800,4382.3,56.6,48.7,70.1,4,16.6,0.25,0.25,-4.0,29.7,26.5,0,6004.8,1,0
3900,2637.5,32.6,46.3,22.4,1,1.4,0.08,0.01,4.9,29.7,22.0,0,4974.6,0,0
4000,3105.4,11.8,19.3,57.5,5,6.1,0.18,0.13,-0.8,29.9,22.1,0,4394.1,0,0
4100,2686.7,28.2,34.3,29.6,2,9.6,0.13,0.13,-0.5,30.5,25.2,0,5989.0,1,0
4200,4521.8,22.0,30.2,49.7,2,12.4,0.08,0.17,1.1,29.6,22.4,0,4613.1,0,0
4300,6085.8,76.6,76.9,97.4,4,36.2,0.41,0.55,2.1,30.6,30.6,0,8216.0,2,0
4400,4239.0,22.7,29.9,67.8,4,13.3,0.08,0.24,5.4,29.6,22.1,0,4801.6,0,0
4500,5072.2,33.5,28.4,81.2,4,2.8,0.09,0.04,-3.7,30.2,26.6,0,5776.0,1,0
4600,4355.9,39.9,44.1,47.9,2,4.7,0.13,0.09,2.6,29.5,22.5,0,4845.0,0,0
4700,5843.5,37.0,41.1,49.7,1,1.9,0.24,0.01,2.4,29.9,26.5,0,6199.7,1,0
4800,5291.1,30.0,34.8,84.7,4,11.1,0.11,0.19,0.2,30.1,26.1,0,6024.5,1,0
4900,3585.6,21.8,31.6,75.3,6,2.5,-0.01,0.06,2.5,29.8,21.8,0,4690.5,0,0
5000,5022.0,89.3,85.4,92.9,5,14.4,0.45,0.21,2.8,30.2,29.3,0,8351.9,2,0
5100,3143.7,34.5,25.8,42.4,3,14.3,0.19,0.21,-3.0,29.7,25.9,0,5776.5,1,0
5200,8044.5,66.9,78.1,145.0,5,26.2,0.25,0.36,4.9,30.8,30.2,0,8356.4,2,0
5300,6516.8,78.9,61.5,88.0,3,15.8,0.4,0.27,-3.4,30.4,29.9,0,7784.8,2,0
5400,5302.1,45.0,40.7,71.6,3,12.3,0.28,0.18,-2.3,29.9,26.0,0,5983.0,1,0
5500,5670.7,72.9,63.5,76.6,3,21.6,0.38,0.34,-0.2,30.5,30.1,0,7955.6,2,0
5600,4128.4,32.6,44.3,55.7,3,6.7,0.11,0.11,5.3,29.5,22.0,0,4970.8,0,0
5700,4309.1,21.9,23.8,68.9,4,4.0,0.15,0.08,-0.3,29.4,22.4,0,4473.8,0,0
5800,2449.5,14.5,22.5,33.1,3,6.5,0.13,0.09,0.4,30.0,22.6,0,4488.6,0,0
5900,2593.7,23.8,37.5,35.0,3,3.8,0.03,0.06,4.1,29.7,22.5,0,4834.1,0,0
6000,3529.8,38.5,28.8,38.8,2,15.1,0.3,0.28,-0.3,29.7,22.1,0,4534.8,0,0
6100,3019.6,34.0,29.8,25.7,1,7.7,0.17,0.17,-2.4,29.5,21.5,0,4447.7,0,0
6200,7188.4,74.9,63.7,115.0,4,31.0,0.39,0.51,-0.5,30.7,29.7,0,7940.2,2,0
6300,3475.3,21.7,42.7,38.2,2,3.5,0.06,0.1,3.9,29.7,22.7,0,4888.6,0,0
6400,5058.3,37.8,43.0,55.6,2,13.8,0.19,0.24,0.7,30.0,22.2,1,4746.9,0,0
6500,5225.1,63.1,72.9,83.6,4,11.4,0.29,0.18,5.3,29.9,25.7,0,6714.6,1,0
6600,4016.0,17.6,29.7,64.3,4,9.3,0.03,0.18,2.3,29.5,21.6,0,4661.5,0,0
6700,7128.3,70.2,61.0,114.1,4,16.2,0.35,0.25,-1.1,30.2,29.1,0,7882.0,2,0
6800,4141.3,27.1,32.9,55.9,3,7.3,0.17,0.09,0.6,29.8,22.0,0,4623.4,0,0
6900,5506.4,78.7,70.6,101.9,5,2.4,0.34,0.01,-1.6,30.8,30.8,0,7973.5,2,0
7000,5193.3,43.9,47.8,96.1,5,10.8,0.24,0.15,-1.2,30.1,26.7,0,6120.7,1,0
7100,3706.0,28.9,53.9,68.6,5,10.0,0.01,0.17,11.7,29.8,22.3,0,5373.4,0,0
7200,4689.2,13.0,22.7,75.0,4,10.1,0.07,0.17,3.0,29.7,22.8,1,4609.8,0,0
7300,7383.7,79.0,77.7,99.7,3,38.9,0.5,0.53,2.7,30.8,30.6,0,8252.2,2,0
7400,6241.8,59.2,49.1,131.1,6,0.7,0.31,0.0,-1.1,30.0,25.6,0,6141.7,1,0
7500,3292.9,59.5,64.2,36.2,2,6.3,0.19,0.13,4.4,30.3,27.0,0,6569.1,1,0
7600,5500.4,43.7,51.4,60.5,2,3.0,0.23,0.1,3.2,30.3,26.1,0,6362.6,1,0
7700,4685.0,29.2,40.8,63.2,3,0.4,0.19,0.04,5.2,29.7,21.8,0,4924.0,0,0
7800,3014.6,22.9,32.7,25.6,1,9.0,0.11,0.11,5.1,29.6,22.0,0,4821.5,0,0
7900,4325.7,22.3,19.2,90.8,6,15.3,0.09,0.26,-3.2,29.7,22.2,0,4286.2,0,0
8000,6885.9,70.3,57.3,110.2,4,19.5,0.3,0.31,-2.3,30.5,30.3,0,7785.6,2,0
8100,3471.0,25.8,21.5,55.5,4,2.4,0.13,0.08,-2.0,30.2,26.3,0,5768.0,1,0
8200,4142.8,10.5,15.0,66.3,4,6.9,0.07,0.07,-1.9,29.7,22.2,0,4296.3,0,0
8300,3206.7,13.8,16.9,43.3,3,9.4,-0.04,0.17,1.3,29.9,22.0,0,4461.3,0,0
8400,4826.0,17.1,23.5,41.0,1,5.4,0.13,0.13,-0.9,29.7,22.2,1,4441.2,0,0
8500,4226.0,30.3,44.3,67.6,4,9.7,-0.04,0.1,5.7,29.5,22.6,0,4987.4,0,0
8600,3398.9,28.0,41.6,54.4,4,13.1,0.15,0.21,5.3,30.0,26.1,0,6335.4,1,0
8700,5595.7,28.4,30.6,75.5,3,8.4,0.16,0.11,0.5,30.3,26.4,0,5989.4,1,0
8800,7356.5,83.7,81.5,117.7,4,18.6,0.44,0.32,5.4,30.7,29.2,0,8420.4,2,0
8900,2848.0,45.4,48.3,31.3,2,0.8,0.13,0.02,4.2,30.3,26.0,0,6369.5,1,0
9000,4414.1,21.3,26.9,48.6,2,4.2,0.14,0.1,-0.6,30.2,23.1,0,4494.2,0,0
9100,5509.5,51.3,34.9,60.6,2,4.0,0.38,0.04,-4.5,30.0,26.4,0,5814.9,1,0
9200,6372.7,51.7,49.1,86.0,3,7.3,0.23,0.11,-0.0,30.3,25.1,1,6186.6,1,0
9300,3958.9,42.3,37.2,73.2,5,8.2,0.21,0.13,-1.1,30.3,26.1,0,5996.4,1,0
9400,6448.5,50.7,56.9,119.3,5,8.1,0.15,0.14,1.0,30.1,26.4,1,6328.7,1,0
9500,5594.8,37.2,41.3,75.5,3,4.1,0.12,0.08,0.7,29.7,26.6,0,6128.1,1,0
9600,4297.5,42.7,43.2,68.8,4,8.7,0.18,0.11,0.7,30.1,26.9,0,6147.6,1,0
9700,5245.3,22.2,25.5,83.9,4,6.7,0.03,0.12,1.8,29.8,23.1,1,4587.5,0,0
9800,3480.7,16.4,15.0,38.3,2,7.5,0.02,0.07,-2.5,29.5,22.4,0,4266.1,0,0
9900,4392.7,30.8,37.8,48.3,2,7.8,0.1,0.15,1.5,29.7,22.2,0,4722.4,0,0
10000,4335.1,17.3,29.1,91.0,6,4.1,0.08,0.02,-0.6,29.7,22.3,0,4522.5,0,0
10100,4343.2,45.2,47.4,69.5,4,5.0,0.13,0.1,1.0,30.2,26.3,0,6213.4,1,0
10200,4304.7,21.0,31.7,90.4,6,16.6,0.07,0.25,2.9,29.5,21.5,0,4710.4,0,0
10300,4543.4,38.4,35.0,61.3,3,10.8,0.1,0.19,-2.6,30.0,25.9,0,5904.6,1,0
10400,5225.3,87.2,75.4,83.6,4,18.3,0.41,0.33,-0.2,30.3,30.2,0,8096.0,2,0
10500,3652.1,34.2,36.8,40.2,2,7.5,0.22,0.1,0.2,29.7,22.5,0,4651.3,0,0
10600,4110.5,36.9,33.5,45.2,2,5.4,0.19,0.13,-0.8,29.5,22.5,0,4567.0,0,0
10700,4679.5,47.8,46.9,63.2,3,7.8,0.28,0.1,2.7,30.0,26.2,0,6286.6,1,0
10800,3429.9,35.5,34.7,46.3,3,7.9,0.16,0.13,-1.3,29.7,21.8,0,4557.7,0,0
10900,3793.2,13.1,24.2,41.7,2,3.9,0.05,0.04,-0.9,29.6,21.8,0,4450.0,0,0
11000,3710.0,37.7,39.1,40.8,2,8.8,0.12,0.09,-1.3,29.7,22.6,0,4611.9,0,0
11100,3037.4,28.7,32.4,25.8,1,8.0,0.16,0.14,3.2,29.7,22.2,0,4734.5,0,0
11200,7447.7,71.6,61.4,119.2,4,17.7,0.31,0.32,-0.7,30.7,30.5,0,7903.5,2,0
11300,4932.5,90.6,83.8,66.6,3,12.9,0.36,0.2,1.7,30.5,29.7,0,8280.2,2,0
11400,5493.7,57.2,68.8,46.7,1,3.8,0.23,0.09,5.4,30.1,27.0,0,6670.2,1,0
11500,7717.1,85.2,81.6,84.9,2,19.0,0.32,0.28,0.3,30.6,30.7,0,8193.7,2,0
11600,8649.0,62.9,62.3,95.1,2,0.8,0.32,0.03,3.3,30.6,29.8,1,8094.7,2,0
11700,3838.5,30.9,44.9,61.4,4,2.3,0.21,0.0,4.7,29.5,21.8,0,4949.0,0,0
11800,4967.1,68.9,68.2,42.2,1,23.1,0.3,0.41,3.1,30.4,30.3,0,8156.2,2,0
11900,3402.1,53.2,50.2,54.4,4,16.0,0.23,0.24,0.5,30.1,25.5,0,6223.5,1,0
12000,6665.3,81.4,75.1,56.7,1,0.1,0.4,0.0,2.1,30.8,31.3,0,8195.7,2,0
12100,8388.9,73.1,60.2,92.3,2,0.5,0.38,0.0,-2.7,30.4,29.8,1,7800.2,2,0
12200,2946.8,36.8,39.7,54.5,5,3.8,0.17,0.12,-1.5,29.9,22.7,0,4611.1,0,0
12300,3651.2,33.7,27.8,58.4,4,11.7,0.08,0.21,-1.0,30.0,22.6,0,4488.2,0,0
12400,3608.7,30.8,45.9,30.7,1,8.1,0.17,0.13,6.1,30.1,23.4,0,5025.7,0,0
12500,3043.7,29.7,35.6,56.3,5,1.1,0.18,0.1,-1.5,29.5,21.9,0,4558.8,0,0
12600,8790.6,91.4,81.5,118.7,3,9.2,0.37,0.17,-1.6,30.8,30.7,1,8107.1,2,0
12700,7833.7,57.6,51.7,144.9,5,17.0,0.13,0.29,-2.1,30.7,29.8,1,7725.2,2,0
12800,3573.2,36.4,37.7,57.2,4,7.6,0.3,0.16,1.9,29.8,22.2,0,4738.1,0,0
12900,4536.4,46.3,49.3,72.6,4,7.9,0.17,0.17,0.9,30.0,25.2,0,6230.7,1,0
13000,3790.8,37.8,49.5,79.6,6,8.6,0.08,0.12,3.2,29.7,22.3,0,4938.2,0,0
13100,4326.2,26.6,31.8,47.6,2,17.6,-0.04,0.26,2.2,29.7,21.8,0,4679.7,0,0
13200,4302.8,23.4,23.7,68.8,4,14.8,0.08,0.21,-3.0,29.7,21.0,0,4351.5,0,0
13300,4126.7,39.0,35.7,55.7,3,0.3,0.21,0.01,-1.5,29.5,21.9,0,4560.4,0,0
13400,5821.6,85.2,78.5,49.5,1,23.6,0.49,0.38,3.9,30.3,30.3,0,8317.6,2,0
13500,3870.2,29.2,30.7,32.9,1,0.8,0.11,0.0,-0.0,30.0,22.3,0,4567.5,0,0
13600,5944.1,49.2,53.7,65.4,2,13.7,0.12,0.2,3.5,30.2,26.2,0,6400.3,1,0
13700,4520.6,44.1,39.6,72.3,4,12.7,0.23,0.25,0.1,30.1,26.2,0,6081.3,1,0
13800,3343.0,31.6,25.9,53.5,4,3.4,0.17,0.04,-1.9,29.8,23.1,0,4424.7,0,0
13900,6761.9,82.6,67.9,108.2,4,32.9,0.37,0.48,-0.3,30.6,29.7,0,8003.2,2,0
14000,6967.9,60.6,53.3,59.2,1,37.7,0.27,0.57,-1.9,30.6,30.4,0,7753.6,2,0
14100,3943.7,19.0,16.7,53.2,3,6.1,0.1,0.07,-0.9,29.5,22.2,0,4359.8,0,0
14200,5489.2,41.6,34.1,101.6,5,4.2,0.24,0.05,1.0,30.3,25.9,0,6054.6,1,0
14300,3915.1,37.3,46.6,52.9,3,7.2,0.18,0.12,1.8,30.1,22.3,0,4839.6,0,0
14400,2196.2,10.2,15.0,35.1,4,14.0,0.05,0.25,-3.5,29.8,22.8,0,4223.6,0,0
14500,2969.2,14.0,20.6,47.5,4,0.6,0.05,0.1,0.5,30.0,22.6,0,4467.3,0,0
14600,6082.1,62.3,58.7,97.3,4,2.8,0.38,0.1,-1.0,29.8,26.7,0,6261.0,1,0
14700,4175.5,28.3,23.5,56.4,3,4.0,0.16,0.03,-1.1,30.2,26.2,0,5831.3,1,0
14800,1910.2,29.9,28.2,35.3,5,16.3,0.19,0.26,0.8,29.4,22.3,0,4575.2,0,0
14900,3848.8,38.6,34.8,52.0,3,13.8,0.22,0.24,-0.9,29.6,21.8,0,4578.3,0,0
15000,7318.4,60.6,66.4,135.4,5,31.7,0.28,0.51,4.0,30.7,30.9,0,8175.2,2,0
15100,3991.7,23.9,34.0,43.9,2,6.6,0.16,0.09,3.5,29.5,22.2,0,4764.7,0,0
15200,3831.1,33.8,41.5,42.1,2,11.4,0.1,0.21,3.5,29.6,22.4,0,4853.6,0,0
15300,5119.6,45.2,41.4,43.5,1,11.1,0.25,0.15,-0.7,30.0,26.1,0,6063.9,1,0
15400,5807.5,66.7,58.8,92.9,4,25.3,0.25,0.39,-1.9,30.8,31.4,0,7820.3,2,0
15500,2649.7,24.0,35.0,35.8,3,7.2,0.09,0.11,0.7,29.7,22.9,0,4651.6,0,0
15600,5334.4,42.3,53.9,58.7,2,16.9,0.07,0.26,0.1,30.1,26.5,0,6251.8,1,0
15700,4972.0,26.4,27.4,54.7,2,6.3,0.05,0.15,-1.0,30.2,26.4,0,5882.8,1,0
15800,5017.6,12.3,21.0,92.8,5,1.0,0.02,0.03,-2.4,29.9,22.4,1,4341.9,0,0
15900,5515.1,44.2,47.9,102.0,5,7.8,0.28,0.14,0.4,30.0,26.8,0,6192.1,1,0
16000,4780.7,20.1,25.2,76.5,4,8.5,0.07,0.12,-0.5,30.1,22.3,1,4479.4,0,0
16100,5469.1,45.7,39.4,87.5,4,6.5,0.25,0.19,2.2,30.4,26.9,0,6172.8,1,0
16200,5461.2,59.5,57.0,73.7,3,0.8,0.35,0.0,2.2,30.4,26.0,0,6381.1,1,0
16300,5567.0,39.7,44.3,75.2,3,8.9,0.16,0.17,3.3,30.1,26.8,0,6277.7,1,0
16400,3169.2,11.9,15.6,58.6,5,2.1,0.13,0.09,-2.6,29.9,22.4,0,4268.4,0,0
16500,6205.6,78.3,70.7,68.3,2,17.9,0.37,0.31,1.5,30.5,29.6,0,8115.7,2,0
16600,3925.2,28.3,26.6,53.0,3,4.6,0.08,0.08,-1.3,30.1,23.5,0,4460.2,0,0
16700,4000.4,36.0,40.5,54.0,3,12.0,0.21,0.19,-2.6,29.5,22.1,0,4571.2,0,0
16800,2920.7,34.6,40.1,39.4,3,0.8,0.18,0.03,-0.6,30.1,22.4,0,4655.9,0,0
16900,5487.3,41.5,38.7,74.1,3,1.2,0.18,0.02,3.2,30.2,26.2,0,6207.4,1,0
17000,5336.3,61.3,54.0,72.0,3,7.3,0.24,0.17,-0.4,30.1,25.7,0,6229.2,1,0
17100,3327.4,14.7,31.5,36.6,2,7.0,0.08,0.1,4.4,29.6,22.2,0,4776.4,0,0
17200,6224.4,31.2,42.1,84.0,3,5.8,0.06,0.07,1.9,30.3,25.9,1,6188.9,1,0
17300,2648.3,30.2,30.1,29.1,2,8.7,0.03,0.12,-0.5,29.9,23.0,0,4539.3,0,0
17400,5080.2,55.6,57.0,55.9,2,7.9,0.31,0.18,3.4,30.2,25.7,0,6436.4,1,0
17500,5205.8,14.1,23.9,44.2,1,11.5,0.09,0.2,1.6,30.0,22.4,1,4558.9,0,0
17600,4281.6,60.4,54.7,68.5,4,7.8,0.32,0.17,-1.8,30.2,26.6,0,6173.5,1,0
17700,3548.8,16.2,25.3,47.9,3,15.7,0.04,0.25,5.1,29.9,21.8,0,4735.2,0,0
17800,8025.6,54.5,44.9,128.4,4,5.2,0.3,0.04,1.1,30.2,30.5,1,7789.9,2,0
17900,3190.9,27.2,36.4,51.1,4,15.1,0.07,0.28,0.5,29.9,21.8,0,4661.4,0,0
18000,3877.1,28.4,24.4,62.0,4,7.1,0.14,0.15,-1.6,29.5,22.0,0,4418.7,0,0
18100,4574.4,23.9,42.6,61.8,3,2.1,0.16,0.01,3.4,29.7,22.0,0,4866.5,0,0
18200,7081.4,70.7,62.8,95.6,3,25.5,0.33,0.38,1.8,30.1,31.0,0,8034.4,2,0
18300,7716.0,69.4,65.0,104.2,3,14.1,0.34,0.21,2.1,30.6,30.8,0,8073.4,2,0
18400,2833.5,31.5,33.7,45.3,4,10.4,0.07,0.17,-0.8,29.8,21.6,0,4570.1,0,0
18500,5192.4,41.6,37.3,70.1,3,11.6,0.17,0.19,2.6,30.0,26.4,0,6164.4,1,0
18600,7416.9,61.4,72.5,137.2,5,30.0,0.24,0.49,2.8,30.9,30.6,0,8195.6,2,0
18700,5090.0,30.7,29.4,94.2,5,3.8,0.2,0.05,-1.2,29.8,26.8,0,5899.7,1,0
18800,6405.0,53.9,41.6,70.5,2,13.0,0.37,0.28,-3.0,30.1,27.0,1,5962.5,1,0
18900,3617.0,26.4,28.6,39.8,2,0.9,0.13,0.08,2.0,29.5,23.2,0,4631.3,0,0
19000,4087.5,20.5,20.6,65.4,4,3.1,0.01,0.06,-3.4,29.7,22.6,0,4292.8,0,0
19100,7210.7,62.7,59.8,97.3,3,21.7,0.23,0.36,0.9,30.4,31.7,0,7957.2,2,0
19200,7275.0,74.9,60.5,61.8,1,13.8,0.42,0.21,-0.6,30.3,29.9,0,7898.2,2,0
19300,5116.1,45.4,45.0,94.6,5,8.7,0.17,0.18,3.5,30.5,26.5,0,6299.2,1,0
19400,3036.7,13.1,23.2,33.4,2,5.6,0.08,0.1,-0.5,29.3,22.6,0,4456.3,0,0
19500,2486.6,11.9,22.2,46.0,5,4.0,0.05,0.03,3.3,29.4,21.8,0,4613.7,0,0
19600,4813.7,55.7,43.5,77.0,4,2.2,0.28,0.02,-0.8,29.8,26.6,0,6086.5,1,0
19700,6958.3,54.1,55.4,111.3,4,26.9,0.25,0.43,3.0,30.6,29.8,0,7999.6,2,0
19800,5447.5,67.4,69.1,59.9,2,27.3,0.31,0.47,5.7,30.8,31.3,0,8283.8,2,0
19900,4532.0,63.4,61.4,49.9,2,3.8,0.22,0.0,-2.2,29.8,25.5,0,6239.6,1,0
20000,6042.6,56.0,52.1,81.6,3,8.0,0.25,0.14,1.2,30.2,25.7,0,6280.9,1,0
20100,3216.0,31.2,45.4,35.4,2,9.2,0.22,0.15,7.4,29.9,22.4,0,5077.1,0,0
20200,3725.0,19.7,26.9,50.3,3,20.4,0.02,0.32,0.7,29.7,21.7,0,4552.2,0,0
20300,4780.8,57.6,52.1,64.5,3,24.7,0.21,0.38,0.7,30.0,29.5,0,7854.6,2,0
20400,4814.0,32.8,40.8,53.0,2,1.4,0.11,0.05,2.5,29.9,26.6,0,6201.2,1,0
20500,4726.0,17.1,19.9,52.0,2,10.0,0.17,0.16,0.6,29.6,21.7,1,4465.6,0,0
20600,4306.7,20.1,17.3,68.9,4,10.9,0.05,0.11,-3.8,29.5,22.4,1,4238.2,0,0
20700,5647.6,54.6,58.6,62.1,2,13.3,0.21,0.22,3.3,29.8,26.1,0,6452.7,1,0
20800,4597.4,34.1,32.0,39.1,1,0.5,0.11,0.02,-4.5,30.0,23.1,1,4381.7,0,0
20900,3869.1,38.1,35.2,61.9,4,6.7,0.15,0.09,-0.5,29.8,22.5,0,4598.5,0,0
21000,4858.4,45.9,48.4,102.0,6,5.2,0.19,0.03,3.5,30.4,26.6,0,6339.0,1,0
21100,4307.4,40.4,45.7,58.2,3,9.1,0.2,0.19,-0.4,30.4,26.3,0,6131.4,1,0
21200,5763.1,37.0,33.3,63.4,2,5.0,0.09,0.07,-1.2,30.0,26.6,0,5944.5,1,0
21300,2896.2,26.8,34.7,46.3,4,5.3,0.12,0.09,2.7,29.3,22.5,0,4738.2,0,0
21400,5927.2,37.7,42.2,109.7,5,0.0,0.11,0.0,-1.6,30.2,25.8,0,6033.1,1,0
21500,3918.3,24.0,23.6,62.7,4,10.7,0.13,0.21,-2.6,29.4,21.8,0,4368.8,0,0
21600,3170.9,25.2,30.0,50.7,4,6.2,0.03,0.07,1.2,29.7,22.0,0,4613.6,0,0
21700,7123.4,50.0,46.9,96.2,3,5.5,0.22,0.13,0.0,30.2,26.1,1,6164.9,1,0
21800,4559.9,54.9,43.5,61.6,3,5.5,0.22,0.07,-2.6,30.1,26.3,0,6005.0,1,0
21900,5402.4,65.8,65.0,45.9,1,22.0,0.3,0.37,2.1,30.7,30.2,0,8073.6,2,0
22000,4753.3,57.6,52.5,76.1,4,11.5,0.35,0.22,1.7,30.3,26.5,0,6304.7,1,0
22100,4261.7,33.1,37.2,68.2,4,9.5,0.17,0.12,-0.4,30.0,26.4,0,6028.4,1,0
22200,2983.2,11.8,18.5,62.6,6,3.1,0.07,0.07,-0.2,29.5,22.6,0,4411.5,0,0
22300,4017.0,39.2,43.3,44.2,2,0.5,0.16,0.03,1.7,29.7,22.3,0,4795.4,0,0
22400,4299.4,10.2,30.9,36.5,1,2.3,-0.0,0.0,3.5,29.8,22.3,0,4726.7,0,0
22500,2743.5,38.4,32.6,37.0,3,5.2,0.18,0.07,-0.2,29.8,22.8,0,4582.0,0,0
22600,6095.9,59.3,58.4,97.5,4,17.6,0.26,0.24,2.1,30.6,31.1,0,7996.8,2,0
22700,3452.2,31.1,39.3,55.2,4,10.5,0.09,0.11,1.9,30.0,22.4,0,4757.7,0,0
22800,7126.2,60.7,57.9,78.4,2,20.0,0.24,0.32,2.7,30.3,30.2,0,8016.4,2,0
22900,5647.4,41.9,46.3,62.1,2,5.3,0.14,0.08,0.6,30.3,27.4,0,6182.3,1,0
23000,5273.7,30.1,27.2,71.2,3,11.7,0.13,0.17,-1.8,30.1,26.3,0,5846.2,1,0
23100,4850.2,32.3,34.2,65.5,3,9.6,0.09,0.13,-0.7,30.3,26.7,0,5980.8,1,0
23200,5316.5,53.5,52.1,98.4,5,2.8,0.25,0.0,1.4,30.4,26.9,0,6286.1,1,0
23300,5039.4,25.2,38.6,68.0,3,12.6,0.01,0.21,5.0,30.1,26.2,0,6290.6,1,0
23400,3405.4,14.9,20.2,54.5,4,4.6,0.07,0.09,-0.7,30.2,21.6,0,4409.9,0,0
23500,4681.9,50.3,52.1,74.9,4,9.2,0.22,0.16,2.5,30.1,26.5,0,6338.7,1,0
23600,3496.9,30.3,30.3,56.0,4,4.6,0.22,0.03,-0.3,29.6,22.5,0,4549.1,0,0
23700,4095.9,16.4,21.0,55.3,3,0.7,0.13,0.03,0.8,30.1,22.2,0,4487.5,0,0
